id,description
1, Ancient (to 1453)
2,Aboriginal
3,Acholi
4,Afrikaans
5,Akan
6,Albanian
7,Algonquin
8,American Sign Language
9,Amharic
10,Apache languages
11,Arabic
12,Aragonese
13,Aramaic
14,Armenian
15,Assamese
16,Assyrian Neo-Aramaic
17,Athapascan languages
18,Australian Sign Language
19,Awadhi
20,Azerbaijani
21,Basque
22,Belarusian
23,Bemba
24,Bengali
25,Berber languages
26,Bhojpuri
27,Bosnian
28,Brazilian Sign Language
29,British Sign Language
30,Bulgarian
31,Cantonese
32,Catalan
33,Chechen
34,Cheyenne
35,Chinese
36,Cornish
37,Creek
38,Croatian
39,Czech
40,Danish
41,Dari
42,Dutch
43,Dyula
44,East-Greenlandic
45,English
46,Esperanto
47,Estonian
48,Ewe
49,Filipino
50,Finnish
51,Flemish
52,French
53,French Sign Language
54,Fulah
55,Gallegan
56,Georgian
57,German
58,Greek
59,Greenlandic
60,Guarani
61,Gujarati
62,Haitian
63,Hakka
64,Haryanvi
65,Hausa
66,Hawaiian
67,Hebrew
68,Hindi
69,Hokkien
70,Hungarian
71,Ibo
72,Icelandic
73,Indonesian
74,Inuktitut
75,Irish
76,Italian
77,Japanese
78,Japanese Sign Language
79,Kabyle
80,Kannada
81,Kazakh
82,Khmer
83,Kinyarwanda
84,Kirghiz
85,Klingon
86,Korean
87,Kriolu
88,Kudmali
89,Kurdish
90,Lao
91,Latin
92,Latvian
93,Lingala
94,Lithuanian
95,Low German
96,Luxembourgish
97,Macedonian
98,Malay
99,Malayalam
100,Maltese
101,Mandarin
102,Manipuri
103,Maori
104,Mapudungun
105,Marathi
106,Masai
107,Maya
108,Micmac
109,Middle English
110,Min Nan
111,Minangkabau
112,Mixtec
113,Mohawk
114,Mongolian
115,More
116,Nama
117,Navajo
118,Nepali
119,None
120,North American Indian
121,Norwegian
122,Nushi
123,Nyanja
124,Occitan
125,Papiamento
126,Persian
127,Polish
128,Polynesian
129,Portuguese
130,Punjabi
131,Pushto
132,Quechua
133,Rajasthani
134,Romanian
135,Romany
136,Russian
137,Saami
138,Sanskrit
139,Scots
140,Scottish Gaelic
141,Serbian
142,Serbo-Croatian
143,Shanghainese
144,Sicilian
145,Sign Languages
146,Sinhalese
147,Sioux
148,Slovak
149,Slovenian
150,Somali
151,Southern Sotho
152,Spanish
153,Spanish Sign Language
154,Swahili
155,Swedish
156,Swiss German
157,Tagalog
158,Tajik
159,Tamil
160,Tarahumara
161,Tatar
162,Telugu
163,Teochew
164,Thai
165,Tibetan
166,Tupi
167,Turkish
168,Turkmen
169,Uighur
170,Ukrainian
171,Urdu
172,Vietnamese
173,Welsh
174,Wolof
175,Xhosa
176,Yiddish
177,Yoruba
178,Zulu
