id,title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime,disney
0,Gods & Monsters with Tony Robinson,1901,,,0,0,0,1,0
1,Space: The New Frontier,1901,,,0,0,0,1,0
2,History of Westinghouse,1904,,,0,0,0,1,0
3,Born To Explore,1914,,,0,1,0,0,0
4,The Little Rascals Classics,1931,,,0,0,1,0,0
5,Betty Boop,1932,0,,0,0,0,1,0
6,The Three Stooges,1934,0,8.6,0,0,1,0,0
7,Casper and Friends,1943,7,,0,0,0,1,0
8,The Wackiest Works of Tex Avery,1945,,,0,0,0,1,0
9,Meet the Press,1947,0,5.5,0,0,1,0,0
10,Television Playhouse,1947,,,0,0,0,1,0
11,You Bet Your Life,1947,,8.4,0,0,1,0,0
12,David Hand's Animaland,1948,,,0,0,0,1,0
13,Westinghouse Studio One,1948,,7.8,0,0,0,1,0
14,Crusade in Europe,1949,,7.1,0,0,0,1,0
15,Gugu,1950,,,0,0,0,1,0
16,The Cisco Kid,1950,,7.3,0,0,1,0,0
17,I Love Lucy,1951,0,8.4,0,0,1,0,0
18,The Adventures of Kit Carson,1951,,7.4,0,0,0,1,0
19,The Roy Rogers Show,1951,,7.2,0,0,0,1,0
20,Hopalong Cassidy,1952,,7.9,0,0,0,1,0
21,Mr. & Mrs. North,1952,,7.4,0,0,0,1,0
22,Father Knows Best,1954,0,7.4,0,0,1,1,0
23,Napoleon Hill's Master Key,1954,,5.2,0,0,0,1,0
24,Sherlock Holmes,1954,,7.7,0,0,1,0,0
25,Alfred Hitchcock Presents,1955,16,8.5,0,0,1,0,0
26,Fury,1955,,7.3,0,0,0,1,0
27,Judge Roy Bean,1955,,7.3,0,0,0,1,0
28,Sergeant Preston of the Yukon,1955,,7.6,0,0,0,1,0
29,Spin and Marty,1955,0,8.2,0,0,0,0,1
30,The Adventures of Robin Hood,1955,,7.8,0,0,0,1,0
31,The Gumby Show,1955,0,7,0,0,1,1,0
32,Colonel March of Scotland Yard,1956,,7.3,0,0,0,1,0
33,The Adventures of Jim Bowie,1956,,7.1,0,0,0,1,0
34,The Buccaneers,1956,,7.6,0,0,0,1,0
35,Decoy,1957,,7.9,0,0,0,1,0
36,The Danny Thomas Show,1957,0,7.4,0,0,0,1,0
37,The Real McCoys,1957,,7.5,0,0,0,1,0
38,Bat Masterson,1958,,7.3,0,0,0,1,0
39,Felix the Cat,1958,,6.8,0,0,0,1,0
40,Peter Gunn,1958,,8,0,0,0,1,0
41,Shirley Temple's Storybook,1958,,7.6,0,0,0,1,0
42,The Rifleman,1958,7,8.3,0,0,1,1,0
43,The Veil,1958,,7.5,0,0,0,1,0
44,Yancy Derringer,1958,16,7.8,0,0,0,1,0
45,Mr. Lucky,1959,,7.8,0,0,0,1,0
46,One Step Beyond,1959,0,7.8,0,0,0,1,0
47,The Rebel,1959,,7.7,0,0,0,1,0
48,The Twilight Zone,1959,7,9,82,1,1,0,0
49,Classic Popeye,1960,,,0,0,0,1,0
50,Coronation Street,1960,7,5.5,0,0,1,0,0
51,Danger Man,1960,7,7.9,0,0,0,1,0
52,Popeye the Sailor,1960,0,7.1,0,0,1,0,0
53,The Andy Griffith Show,1960,0,8.3,0,1,0,1,0
54,The Shirley Temple Collection,1960,,,0,0,1,0,0
55,Thriller,1960,,8.2,0,0,0,1,0
56,"Car 54, Where Are You?",1961,,7.7,0,0,0,1,0
57,I've Got a Secret,1961,,,0,0,0,1,0
58,Mister Ed,1961,0,7,0,0,1,0,0
59,The Dick Van Dyke Show,1961,0,6.8,0,1,1,0,0
60,Fireball XL5,1962,7,7.4,0,0,0,1,0
61,McHale's Navy,1962,0,7.4,0,0,1,0,0
62,The Beverly Hillbillies,1962,0,7.1,0,0,1,0,0
63,The Lucy Show,1962,7,7.2,0,0,1,0,0
64,The Saint,1962,7,7.5,0,0,0,1,0
65,Barney Google & Snuffy Smith,1963,,,0,0,0,1,0
66,Beetle Bailey,1963,,,0,0,0,1,0
67,General Hospital,1963,7,6.5,0,0,1,0,0
68,Gigantor,1963,7,6.9,0,0,1,0,0
69,My Favorite Martian,1963,0,7.3,0,0,1,0,0
70,Petticoat Junction,1963,0,7,0,0,0,1,0
71,The Outer Limits,1963,7,8.2,91,0,1,0,0
72,Jeopardy!,1964,0,8.2,0,0,1,0,0
73,Secret Agent,1964,,8.2,0,0,0,1,0
74,Stingray,1964,,7.3,0,0,0,1,0
75,The Addams Family,1964,0,7.9,100,0,0,1,0
76,The Pink Panther Show,1964,0,7.6,0,0,1,1,0
77,Voyage to the Bottom of the Sea,1964,7,7.2,0,0,1,0,0
78,Gidget,1965,0,6.7,0,0,0,1,0
79,Green Acres,1965,0,7.2,0,0,0,1,0
80,I Spy,1965,,7.1,0,0,1,0,0
81,Lost in Space,1965,0,7.2,0,0,1,0,0
82,Peanuts,1965,,,0,0,0,1,0
83,Thunderbirds,1965,7,7.8,0,0,0,1,0
84,Cool McCool,1966,7,7.2,0,0,0,1,0
85,Dark Shadows,1966,7,7.5,0,0,1,1,0
86,David Copperfield,1966,0,7.3,0,0,1,1,0
87,Mission: Impossible,1966,7,7.6,0,0,0,1,0
88,Star Trek,1966,7,8.3,80,1,1,1,0
89,That Girl,1966,7,7.1,0,0,0,1,0
90,Captain Scarlet and the Mysterons,1967,0,7.9,0,0,0,1,0
91,Dragnet,1967,7,7.5,0,0,1,0,0
92,Ironside,1967,7,6.9,0,0,1,0,0
93,The Carol Burnett Show,1967,0,8.8,0,0,0,1,0
94,Adam-12,1968,7,7.5,0,0,1,0,0
