,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Directors,Genres,Country,Language,Runtime
16297,16298,My Next Guest with David Letterman and Shah Rukh Khan,2019,,9.3,,1,0,0,0,David Letterman,Talk-Show,,,61
7847,7848,Love on a Leash,2011,,9.3,,0,0,1,0,Fen Tian,"Comedy,Drama,Fantasy,Romance",United States,,90
3015,3016,Steven Banks: Home Entertainment Center,1989,,9.3,,0,0,1,0,Tom McLoughlin,Comedy,United States,English,60
11249,11250,"Down, But Not Out!",2015,,9.3,,0,0,1,0,Miguel Gaudêncio,"Documentary,Sport",Poland,Polish,68
7623,7624,Bounty,2011,,9.3,,0,0,1,0,Roger Donaldson,"Adventure,Drama,History,Romance","United Kingdom,United States,New Zealand",English,132
16404,16405,Square One,2019,,9.3,,0,0,1,0,Danny Wu,"Documentary,Drama,Music",United States,English,83
12709,12710,Natsamrat,2016,,9.1,,1,0,0,0,Mahesh Manjrekar,"Drama,Family",India,Marathi,166
14589,14590,Where's Daddy?,2017,,9.1,,0,0,1,0,Rel Dowdell,Documentary,United States,English,105
9305,9306,Finding Family,2013,13,9.1,,0,0,1,0,"Chris Leslie,Oggi Tomic","Documentary,Family,History,War","United Kingdom,Bosnia and Herzegovina","Bosnian,English",56
10976,10977,A Dog Named Gucci,2015,,9,,0,0,1,0,Gorman Bechard,"Documentary,Biography,Drama,News",United States,English,90
11268,11269,Escape from Firebase Kate,2015,,9,,0,0,1,0,Paul Kakert,Documentary,United States,English,60
6348,6349,The Dark Knight,2008,13,9,94,0,1,0,0,Christopher Nolan,"Action,Crime,Drama,Thriller","United States,United Kingdom","English,Mandarin",152
4562,4563,8 Wheels & Some Soul Brotha' Music,2003,,8.9,,0,0,1,0,Tyrone D. Dixon,Documentary,United States,English,70
8827,8828,The Creators,2012,,8.9,,0,0,1,0,"Laura Gamse,Jacques de Villiers","Documentary,History,Music,News","United States,South Africa","English,Afrikaans,Xhosa",89
3304,3305,Peter Gabriel: Secret World Live,1993,0,8.9,,0,0,1,0,François Girard,"Documentary,Music",Canada,English,102
8018,8019,The Dolls of Lisbon,2011,,8.9,,0,0,1,0,Ethan H. Minsker,Documentary,"United States,Portugal,Germany,Ecuador",English,72
9096,9097,Arise,2013,,8.9,,0,0,1,0,Priyadarshan,"Comedy,Drama",India,Tamil,130
11850,11851,The Jones Family Will Make a Way,2015,,8.9,,0,0,1,0,Alan Berg,"Documentary,Drama,Family,Music",United States,English,91
10968,10969,7 Days in Syria,2015,,8.9,,0,0,1,0,Robert Rippberger,"Documentary,Drama,War","United States,Syria",English,75
